P;;;;;;
Immatriculation;Code;Date MC;Code;Désignation;Cpt. actuel;Nom
AK-883-WA;VUE081RE10;01/02/2010;DOM;Biens remis aux Domaines;338377,00;RENAULT MASTER L3H2 2,5 DCI-150
AK-916-WA;VUE080RE10;01/02/2010;DOM;Biens remis aux Domaines;364488,00;RENAULT MASTER L3H2  4 PL
AK-940-WA;VUE079RE10;01/02/2010;DOM;Biens remis aux Domaines;514000,00;RENAULT MASTER L3H2 2,5 DCI-150
AK-986-WA;VUA052RE10;01/02/2010;PSRPOOL;Pool Relais PS Rennes;219241,00;RENAULT KANGOO 1,5 DCI
AM-149-BX;CAD007RE08;06/03/2009;CEIBRES;CEI Brest;68393,00;RENAULT PREMIUM LANDER 320/26 GRUE
AN-287-LT;CAD021RE10;16/03/2010;TR3DS53;Transfert 3ds CD53;54120,00;PREMIUM 380-26 Benne
AQ-413-JZ;VUF004IV10;15/04/2010;STRENN;Section Travaux Rennes;129710,00;IVECO DAILY 65C
AQ-765-JY;VLD010RE10;15/04/2010;CMR;Centre Maintenance Régional;289415,00;RENAULT MEGANE
AV-015-DT;VLB010PE01;13/12/2001;DOM;Biens remis aux Domaines;148140,00;PEUGEAOT 106 D
AV-074-FA;VUD002PE95;03/03/1995;DOM;Biens remis aux Domaines;307935,00;PEUGEOT BOXER D
AV-114-FA;VUD007RE98;17/03/1998;PSBPOOL;Pool Relais PS Brest;184397,00;RENAULT MASTER L3H2 2,8 DCI
AV-146-FA;VUD010RE00;10/04/2000;PSBPOOL;Pool Relais PS Brest;306239,00;RENAULT MASTER L3H2  2,8 DTI
AV-179-SA;VUD016RE01;28/02/2001;DOM;Biens remis aux Domaines;403920,00;RENAULT MASTER L3H2 2,8 DCI
AV-216-FA;VUC001RE02;15/11/2002;DOM;Biens remis aux Domaines;223128,00;RENAULT MASTER L2 BENNE DCI 150
AV-246-FA;VUC002RE02;12/12/2002;DOM;Biens remis aux Domaines;385708,00;RENAULT MASTER L2 BENNE DCI 150
AV-275-FA;VUE008RE03;06/02/2003;DOM;Biens remis aux Domaines;439465,00;RENAULT MASTER L2H2
AV-305-FA;VUD035RE03;13/02/2003;DOM;Biens remis aux Domaines;160103,00;RENAULT MASTER L3H2
AV-338-FA;VUD034RE03;06/02/2003;CEIBRES;CEI Brest;110280,00;RENAULT MASTER L2H2
AV-358-DQ;VLB025RE05;07/07/2005;DOM;Biens remis aux Domaines;161437,00;RENAULT TWINGO GEN. 1.2E
AV-359-DT;CAC032RE93;14/05/1993;PSBREF;Réforme PS Brest;389566,00;RENAULT G340-19
AV-379-DT;CAB006RE01;29/08/2001;DIS29;District Brest;211541,00;RENAULT 180-13
AV-409-DQ;VLC002RE01;07/09/2001;DOM;Biens remis aux Domaines;266030,00;RENAULT CLIO 1,5 DCI
AV-437-DQ;VUB002CI02;15/04/2002;DOM;Biens remis aux Domaines;147738,00;CITROEN JUMPY D
AV-465-FA;VUE022RE05;09/12/2005;DOM;Biens remis aux Domaines;470934,00;RENAULT MASTER L2H2 2.5 DCI 150CV
AV-470-DQ;VLA036RE00;31/10/2000;DOM;Biens remis aux Domaines;275163,00;RENAULT KANGOO BREAK D
AV-504-DQ;VUB006CI03;20/10/2003;DOM;Biens remis aux Domaines;188799,00;CITROEN JUMPY D
AV-530-DQ;VUB003CI02;28/10/2002;DOM;Biens remis aux Domaines;240249,00;CITROEN JUMPY D
AV-542-DT;CAB005RE01;20/07/2001;DOM;Biens remis aux Domaines;222652,00;RENAULT 180-15 BEN+GRUE
AV-567-DQ;VUA011RE02;18/09/2002;DOM;Biens remis aux Domaines;188226,00;RENAULT KANGOO EXPRESS 1.5 DCI
AV-583-DS;VUB011CI06;03/10/2006;DOM;Biens remis aux Domaines;309698,00;CITROEN JUMPY 2.0 HDI
